"","X.1","Unnamed..0","X","Date","Year","Time","Location","Operator","Route","AC.Type","Manufacturer","Registration","cn.ln","Aboard","Aboard.Passangers","Aboard.Crew","Fatalities","Fatalities.Passangers","Fatalities.Crew","Ground","Summary","Coordinates","Latitude","Longitude","Country","Country.coordinates","Location_Status"
"1402",3136,3484,3496,"09/12/1988",1988,"14-15","Lago Agrio, Ecuador","TAME Ecuador","Lago Agrio - Quito","Lockheed L-188A Electra","Lockheed","HC-AZY","1052",7,1,6,7,1,6,0,"The positioning flight took off with one bad engine. Another engine failed and the plane crashed and burst into flames.","(0.08472, -76.88278)",1.31972601514457,-79.7399945805916,"Ecuador","Ecuador","correct location"
"1403",3138,3486,3498,"09/19/1988",1988,"20-21","Miram, Pakistan","Military - Afghan Republican Air Force","","Antonov AN-26","Antonov","","",34,NA,NA,34,NA,NA,0,"Accidentally shot down by Pakistani anti-aircraft fire after straying out of Afghan air space.","(33.01233, 70.066)",34.2209350673343,71.0512188931927,"Pakistan","Pakistan","correct location"
"1404",3140,3488,3500,"10/04/1988",1988,"23-00","Batagay, Russia","Aeroflot","Tikis - Batagay","Antonov 12BP","Antonov","CCCP-11418","401712",6,0,6,6,0,6,0,"The cargo flight crew decided on a visual approach, ignored the GPWS warning and flew into a mountain.","(67.659161, 134.652553)",67.6183023592529,132.857809594298,"Russia","Russia","correct location"
"1405",3141,3489,3501,"10/07/1988",1988,"13-14","Linfen, China","Shanxi Airlines","Sightseeing","Ilyushin IL-14P","Ilyushin","B-4218","6341406",48,44,4,44,40,4,2,"The sightseeing  plane crashed into a hotel shortly after takeoff. The left engine had failed following a fatigue fracture in the engine's oil pump drive shaft.","(36.080182, 111.52771)",35.5213587834026,113.033637831478,"China","China","correct location"
"1406",3142,3490,3502,"10/11/1988",1988,"14-15","Wurtsmith AFB, Michigan","Military - U.S. Air Force","Sawyer AFB - Wurtsmith AFB","Boeing KC-135A","Boeing","60-0317","18092/431",17,0,17,6,0,6,0,"Crashed after returning from Sawyer AFB in Michigan.","(30.457896, -86.549408)",28.2665757766378,-84.8023197302503,"United States","United States","correct location"
"1407",3143,3491,3503,"10/17/1988",1988,"00-01","Rome, Italy","Uganda Airlines","London - Rome","Boeing B-707-338C","Boeing","5X-UBC","19630/746",52,45,7,33,26,7,0,"Undershot runway and hit  a building while performing a third landing attempt in fog. The crew's lack of adequate preparation in the procedure for a non-precision approach, especially in crew coordination, altitude callouts and their continued descent beyond MDA without having located the runway visual markings. Crew fatigue.","(41.878243, 12.528091)",40.7423970005873,10.9210533928208,"Italy","Italy","correct location"
"1408",3144,3492,3504,"10/19/1988",1988,"07-08","Ahmedabad, India","Indian Airlines","Bombay - Ahmadabad","Boeing B-737-2A8","Boeing","VT-EAH","20481/271",129,124,5,124,119,5,0,"The plane hit an electrical mast, 5 miles short of runway during an approach in fog and burst into flames. Error on the part of pilot-in-command as well as co-pilot due to non adherence to procedures under poor visibility conditions.","(23.031773, 72.530662)",22.1556847171456,73.7043987817681,"India","India","correct location"
"1409",3145,3493,3505,"10/19/1988",1988,"08-09","Gauhati, India","Vayudoot","Silchar - Gauhati","Fokker F-27 Friendship 100","Fokker","VT-DMC","10173",34,31,3,34,31,3,0,"Crashed short of the runway. Controlled flight into terrain.","(26.151549, 91.781577)",24.0615837744409,91.6247057198341,"India","India","correct location"
"1410",3146,3494,3506,"10/25/1988",1988,"10-11","Juliaca, Peru","Aero Peru","Juliaca - Arequipa","Fokker F-28 Fellowship 1000","Fokker","OB-R-1020","11059",69,65,4,12,11,1,0,"Crashed shortly after taking off from Manco Capac airport at Juliaca. The pilot tried to return to the runway but crashed in a high nose-up attitude into a pasture. The plane broke in two and burst into flames.","(-15.5, -70.13333)",-16.3236199759124,-71.196490937719,"Peru","Peru","correct location"
"1411",3148,3496,3508,"11/14/1988",1988,"07-08","Ilmajoki, Finland","Wasa Wings","Helsink - Ilmajoki","Embraer 110P1 Bandeirante","Embraer","OH-EBA","110226",12,10,2,6,4,2,0,"The aircraft struck trees 2,400 feet next to the runway while approaching in deteriorating weather conditions. A power failure caused all light to go out at the airport.","(62.73559, 22.57884)",63.4435781198817,21.8137831812096,"Finland","Finland","correct location"
"1412",3150,3499,3511,"12/07/1988",1988,"19-20","Kodinsk, Russia","Aeroflot","	Krasnoyarsk - Kodinsk","Let 410UVP","Let","CCCP-67127","790323",14,12,2,6,4,2,0,"The aircraft struck the ground while the crew was in the base leg turn. Crew procedural errors. The radio altimeter warning was not set and the outer marker was not used during the approach.","(58.68806, 99.18444)",58.3426284879583,101.101371662564,"Russia","Russia","correct location"
"1413",3151,3501,3513,"12/10/1988",1988,"20-21","Afghanistan","Military - Afghan Republican Air Force","Kabul - Khost","Antonov AN-32","Antonov","","",25,NA,NA,25,NA,NA,0,"Shot down by a Pakistani jet fighter while en route.","(34.159326, 66.51551)",34.9737744456311,66.7818303599455,"Afghanistan","Afghanistan","correct location"
"1414",3153,3503,3515,"12/14/1988",1988,"21-22","Luxor, Egypt","GAS Air","Dar-es-Salaam - Cairo","Boeing B-707-321C","Boeing","5N-AYJ","19168/508",8,5,3,8,5,3,5,"After 2 missed approaches at Cairo the plane diverted to Luxor but crashed into a residential neighborhood while attempting to land. Forced landing. Fuel exhaustion.","(25.69893, 32.6421)",25.0186492949886,29.1949480124086,"Egypt","Egypt","correct location"
"1415",3155,3505,3517,"01/08/1989",1989,"20-21","Leicestershire, England","British Midland Airways","London - Belfast","Boeing B-737-4Y0","Boeing","G-OBME","23867/1603",126,118,8,47,47,0,0,"While en route and climbing through FL 280, a vibration was felt and the smell of smoke was detected.  A fan blade on the No. 1 engine detached and caused a compressor stall and vibration of the aircraft. The crew throttled back the No. 2 engine and the vibration stopped. Soon after it was decided to shut down the No. 2 engine. While attempting to land, power was lost in the No. 1 engine, the aircraft stalled and crashed into trees 3,000 ft. short of the runway. The crew mistakenly shut down the wrong engine, lost power in the disabled engine and was unable to maintain flight in the final approach.","(52.672084, -0.9275)",52.8283533846574,0.257883878920749,"United Kingdom","United Kingdom","correct location"
"1416",3156,3506,3518,"01/31/1989",1989,"12-13","Abilene, Texas","Military - U.S. Air Force","Dyess AFB - Hawaii","Boeing KC-135A","Boeing","63-7990","18607/646",19,12,7,19,12,7,0,"Crashed in flames after taking off from Dyess Air Force Base. Failure of the water injection system during takeoff.","(32.439893, -99.740303)",32.845737746115,-98.6377372147732,"United States","United States","correct location"
"1417",3157,3507,3519,"02/03/1989",1989,"07-08","Rangoon, Myanmar","Burma Airways","Rangoon - Kentung","Fokker F-27 Friendship 600","Fokker","XY-AEK","10325",29,25,4,26,23,3,0,"The aircraft entered a fog bank after taking off from Rangoon and hit a tree and caught fire.","(16.774104, 96.167159)",17.7085414307327,94.0145541781514,"Myanmar","Myanmar","correct location"
"1418",3158,3508,3520,"02/06/1989",1989,"18-19","Marseille, France","RAM","Marseille - Paris","Vickers 952F Vanguard","Vickers","F-GEJE","730",3,0,3,3,0,3,0,"After a second takeoff attempt the cargo plane banked to the right until it crashed into the water.","(43.295314, 5.401581)",44.047143441988,2.17557345975361,"France","France","correct location"
"1419",3160,3510,3522,"02/19/1989",1989,"06-07","Kuala Lumpur, Malaysia","Flying Tiger Line","Singapore - Kuala Lumpur","Boeing 747-249F","Boeing","N807FT","21828/408",4,0,4,4,0,4,0,"The cargo plane descended below minimums and impacted trees and a hill. Non-standard phraseology used by Kuala Lumpur ATC, causing the crew to misinterpret the instructions.","(3.160318, 101.691466)",4.44833934469207,100.277357228851,"Malaysia","Malaysia","correct location"
"1420",3161,3511,3523,"02/24/1989",1989,"02-03","Honolulu, Hawaii","United Air Lines","Los Angeles - Honolulu - Auckland - Sydney","Boeing B-747-122","Boeing","N4713U","19875/89",356,338,18,9,9,0,0,"After leaving Honolulu, on a flight from Los Angeles to Sydney, Australia, the loss of an improperly latched forward lower lobe cargo door resulted in explosive decompression and loss of power in the No. 3 and 4 engines. Nine passengers were sucked out of the plane and lost at sea. The plane landed safely. The cargo door opening was attributed to a faulty switch or wiring in the door control system which permitted electrical actuation of the door latches towards the unlatched position after initial door closure and before takeoff. As a failsafe, the latches should have been blocked from moving by a mechanism called a ""locking sector"" (one on each latch), engaged manually by a lever after the door is closed.  However, the locking sectors as designed were not strong enough and could be overcome by the motors which was a design flaw right from the introduction of the747.  This was finally recognized as serious, after a non-fatal failure in 1987, but installing stronger locking sectors required taking each plane out of service 10 hours, and the FAA had allowed airlines 18 months so they could do it during other maintenance procedures.","(21.40572, -157.789396)",22.4149933038731,-157.345782958465,"United States","United States","correct location"
"1421",3162,3512,3524,"02/28/1989",1989,"06-07","Quebec City, Quebec, Canada","Transfair","La Grande - Lac Bienville","Douglas C-47A","Douglas","C-FBZN","25290",2,0,2,2,0,2,0,"The cargo plane crashed after its initial climb. Icing.","(46.855987, -71.276271)",47.0114742944997,-71.0728916155102,"Canada","Canada","correct location"
"1422",3165,3515,3527,"03/15/1989",1989,"07-08","West Lafayette, Indiana","Mid Pacific Air","Terre Haute - Lafayette","NAMC YS-11A-300F","NAMC","N128MP","2139",2,0,2,2,0,2,0,"While landing the cargo plane pitched down and crashed short of the runway. A loss of control due to the improper in-flight decisions by the crew and the undetected accumulation of ice on the leading edge of the horizontal stabilizer, during flight in a forward centre of gravity condition and exacerbated by the extension of full landing flaps.","(40.436539, -86.920203)",40.778319198033,-87.0525250267875,"United States","United States","correct location"
"1423",3166,3516,3528,"03/18/1989",1989,"02-03","Carswell AFB, Texas","Evergreen International Airlines","Fort Worth, TX - Oklahoma City, OK","McDonnell Douglas DC-9-33RC","McDonnell Douglas","N931F","47192/287",2,0,2,2,0,2,0,"The loss of control of the airplane for undetermined reasons following the in-flight opening of the improperly latched cargo door. Contributing to the accident were inadequate procedures used by Evergreen Airlines and approved by the FAA for pre-flight verification of external cargo door lock pin manual control handle, and the failure of McDonnell Douglas to provide flight crew guidance and emergency procedures for an in-flight opening of the cargo door. Also contributing to the accident was the failure of the FAA to mandate modification to the door-open warning system for DC-9 cargo-configured airplanes, given the previously known occurrences of in-flight door openings.","(37.425854, -81.514649)",37.3618543490195,-83.2685101565117,"United States","United States","correct location"
"1424",3167,3517,3529,"03/20/1989",1989,"07-08","Pohang, South Korea","Military - U.S. Marine Corps","","Sikorsky CH-53D","Sikorsky","157140","",34,30,4,19,NA,NA,0,"Crashed and burned in mountainous terrain during a troop lift mission. Came in for a landing at an extreme high bank until it crashed to the ground. Pilot error.","(36.068283, 129.378543)",34.873781206181,128.904533106684,"South Korea","South Korea","correct location"
"1425",3168,3518,3530,"03/21/1989",1989,"11-12","Guarulhos, Brazil","Transbrasil","Manaus - Sao Paulo-Guarulhos","Boeing B-707-349C","Boeing","PT-TCS","19354/503",3,0,3,3,0,3,18,"The plane crashed into houses during a steep approach. Crew error. High speed approach. Deep stall. This was the Boeing 707 used in the movie ""Airport"" in 1970.","(-23.40239, -46.49705)",-23.2031828319559,-48.0353565596735,"Brazil","Brazil","correct location"
"1426",3169,3519,3531,"04/10/1989",1989,"21-22","Col de Tourniol, France","Europe Aero Service EAS","Paris - Valence","Fairchild FH-227B","Fairchild","F-GGDM","532",22,19,3,22,19,3,0,"After being cleared on a heading for Valence, the aircraft continued on its current heading until it struck a mountain at 4,100 feet. Crew error. Navigational error. Controlled flight into terrain.","(44.918471, 5.184404)",46.8511009200239,5.20470687860552,"France","France","correct location"
"1427",3172,3522,3534,"05/05/1989",1989,"14-15","Cancun, Mexico","Aero Cozumel","Chichen Itza - Cozumel","Britten Norman BN-2A Trislander II","Britten Norman","XA-JPE","1051",19,17,2,6,6,0,0,"Crashed after the pilot radioed he was making an emergency landing with engine problems.","(21.163829, -86.861727)",21.834949770268,-87.7810787052933,"Mexico","Mexico","correct location"
"1428",3173,3523,3535,"05/08/1989",1989,"09-10","Oskarshamn, Sweden","Holmstoem Air","Stockholm - Oskarshamn","Beechcraft 99","Beechcraft","SE-IZO","U048",16,14,2,16,14,2,0,"While on approach the plane pitched up, went into a steep dive and crashed short of the runway. Aircraft improperly loaded causing a shift in the center of gravity.","(57.260721, 16.451082)",56.9255703916525,19.5734664357943,"Sweden","Sweden","correct location"
"1429",3176,3527,3539,"06/17/1989",1989,"08-09","Berlin, Germany","Interflug","Berlin - Moscow","Ilyushin IL-62MK","Ilyushin","DDR-SEW","2850324",113,103,10,20,20,0,1,"The pilot aborted the takeoff at liftoff after it was discovered the rudder and elevator were jammed. When the command was given to apply reverse thrust  the flight engineer switched off the engines by mistake. The aircraft overran runway, collided with obstacles and caught fire. Jammed rudder and elevator.","(52.524932, 13.407032)",52.5806508784664,12.2339483379581,"Germany","Germany","correct location"
"1430",3178,3529,3541,"06/22/1989",1989,"17-18","Tarma, Peru","Fuerza AÃÂ©rea del Peru","San Ramon - Captain Alvarino","de Havilland Canada DHC-5D Buffalo","deHavilland","FAP-329","329",62,57,5,62,57,5,0,"Crashed into a mountainside in the remote Andean highlands shortly after leaving San Ramon. Overloaded.","(-11.41972, -75.69083)",-11.9366941321781,-74.1318199493533,"Peru","Peru","correct location"
"1431",3182,3533,3545,"06/29/1989",1989,"00-01","Cartersville, Georgia","Calair","Carterville, GA  - Montgomery, AL","Dassault Falcon 20","Dassault","N125CA","208",2,0,2,2,0,2,0,"Unable to gain altitude the positioning flight struck powerlines and crashed. Failure of the pilot-in-command  to assure that the aircraft maintained a climb profile after takeoff. Factors related to the accident were: dark night, the crew's lack of visual perception at night, the PIC's lack of rest (fatigue) and the copilot's failure to attain remedial action.","(34.160411, -84.799481)",35.0361734084495,-83.8954821894373,"United States","United States","correct location"
"1432",3183,3534,3546,"07/19/1989",1989,"07-08","Glen Burnie, Maryland","Air Taxi - Centre Airlines Inc.","Baltimore, MD - Winchester, VA","Beech E18S","Beechcraft","N138JR","",5,4,1,2,2,0,0,"Shortly after departing from runway 15l at the Baltimore-Washington International Airport, the pilot transmitted that he had an emergency consisting of a fire under his side panel. He reported he was going to circle & land. According to witnesses, flames & smoke were in the cockpit area. The aircraft started a gradual descent during a left turn. Subsequently, it crashed into a house.","(39.157029, -76.610553)",38.6096483206641,-75.5064478915204,"United States","United States","correct location"
"1433",3185,3536,3548,"07/19/1989",1989,"16-17","Sioux City, Iowa","United Air Lines","Denver, CO - Chicago, IL","McDonnell Douglas DC-10-10","McDonnell Douglas","N1819U","46618/118",298,287,11,112,111,1,0,"Catastrophic failure of the No. 2 (rear) engine while en route from Denver to Chicago, with total loss of all three hydraulics systems due to damage. The aircraft maneuvering with only the thrust of the engines, crashed while attempting to land at Sioux City. Failure to detect a fatigue crack in the No. 2 engine resulting in the disintegration of the fan disk and loss of all three hydraulic systems. The  failure was traced back to a manufacturing defect in the fan disk, which had microscopic cracks due to impurities. Subject of the 1992 TV-movie ""Crash Landing: The Rescue of Flight 232.""","(42.522283, -96.382388)",43.8333271407001,-98.3320926467804,"United States","United States","correct location"
"1434",3187,3538,3550,"07/21/1989",1989,"15-16","Manila, Philippines","Philippine Air Lines","Zamboanga - Manila","BAC One-Eleven 516FP","BAC","RP-C1193","231",98,91,7,1,1,0,8,"In heavy rain the aircraft bounced twice, crashed through a concreate wall, overran the runway, crossed a road and struck several cars.","(14.593819, 120.992302)",15.0294537345749,122.963844670924,"Philippines","Philippines","correct location"
"1435",3191,3542,3554,"07/27/1989",1989,"07-08","Tripoli, Libya","Korean Airlines","Jeddah - Tripoli","McDonnell Douglas DC-10-30","McDonnell Douglas","HL-7328","47887/125",199,181,18,75,72,3,4,"The aircraft crashed short of the runway while landing in fog. Failure of the captain to land without analyzing the weather data.","(32.8925, 13.180012)",34.0039610137658,13.260277909666,"Libya","Libya","correct location"
"1436",3192,3543,3555,"07/31/1989",1989,"22-23","Auckland, New Zealand","Air Freight New Zealand","Auckland - Christchurch","Convair CV-580","Convair","ZK-FTB","180",3,0,3,3,0,3,0,"The cargo lost altitude shortly after lifting off and crashed and broke up in  Manukau Harbor. The training captain's failure to monitor the aircraft's climb flight path during the critical stage of the climb after take-off.","(-36.849193, 174.764111)",-34.3610098038492,175.389988432929,"New Zealand","New Zealand","correct location"
"1437",3193,3544,3556,"08/03/1989",1989,"13-14","Samos, Greece","Olympic Aviation","Thessaloniki - Samos","Shorts 330-200","Short","SX-BGE","SH-3083",34,31,3,34,31,3,0,"Crashed into Mt. Kerkis in poor weather after deviating from course on approach. The crew was flying VFR in IFR conditons. The aircraft was named Isle of Minos.","(37.759824, 26.974607)",37.1544871834971,27.0621248235296,"Greece","Greece","correct location"
"1438",3194,3545,3557,"08/07/1989",1989,"12-13","Gambela, Ethiopia","RRC Air Service","Addis Ababa - Bole","de Havilland DHC-6 Twin Otter 300","deHavilland","ET-AIL","699",16,13,3,16,13,3,0,"The aircraft took off from Addis Ababa to see how much food was reaching the famine-stricken area of western Ethiopia.  The plane crashed into a mountain in poor weather conditons at an altitude of  3,600 feet.  The crew flew into an area of bad weather at a very low altitude and failed to maintain visual contact with the ground.  U.S. Representative George Thomas ""Mickey"" Leland, 45, killed.","(8.25, 34.58333)",8.97906526805242,33.7235568162691,"Ethiopia","Ethiopia","correct location"
"1439",3198,3549,3561,"08/25/1989",1989,"07-08","Gilgit, Pakistan","Pakistan International Airlines","Gilgit - Islamabad - Chaklala","Fokker F-27 Friendship 200","Fokker","AP-BBF","10207",54,49,5,54,49,5,0,"Crashed into Himalaya Mountains en route from Gilgit to Islamabad.","(35.917911, 74.336754)",36.1875592812279,74.6666649628582,"Pakistan","Pakistan","correct location"
"1440",3199,3550,3562,"09/03/1989",1989,"20-21","Sao Jose do Xingu, Brazil","Varig","Maraba - Belem","Boeing B-737-241","Boeing","PP-VMK","21006/398",54,48,6,13,13,0,0,"A series of navigation errors led to the aircraft running out of fuel and crashing into the jungle. The crew was working with a filight plan that showed the course in tenths of a degree  instead of in the usual whole degrees. When the flight plan indicated 0270 degrees, the crew should have been flying at 027 degrees. Instead they flew at 270 degrees (west).Therefore, the crew flew in  the wrong direction, even though Belem was north of Maraba and the sun was setting right in front of them. Then they assumed they had overshot Belem and flew straight back east. Then they began following a river which they assumed was the Amazon which would lead them to Belem, but it was the Xingu river. Finally, they  tuned in a radio station and homed in on it assuming it was a Belem station, which it wasn't.","(-10.789796, -52.701358)",-10.084945142029,-54.4612703103373,"Brazil","Brazil","correct location"
"1441",3200,3551,3563,"09/03/1989",1989,"19-20","Havana, Cuba","Cubana de Aviacion","Havana - KÃÂ¶ln, Bonn","Ilyushin IL-62M","Ilyushin","CU-T1281","3850453",126,115,11,126,115,11,45,"The aircraft crashed into navigational towers and residential houses shortly after takeoff in heavy rain and high winds. Decision of the pilot in command  to fly after an abrupt deterioration in weather conditions.","(23.13302, -82.38304)",22.6585205447075,-85.2601311260228,"Cuba","Cuba","correct location"
"1442",3203,3555,3567,"09/19/1989",1989,"14-15","Bilma, Niger","Union des Transportes Aeriens","N'Djamena - Paris","McDonnell Douglas DC-10-30","McDonnell Douglas","N54629","46852/125",171,156,15,171,156,15,0,"While climbing through FL 350, 46 minutes after takeoff, a bomb exploded in a container in location 13-R in the forward cargo hold. The aircraft disintegrated and crashed into the desert. A Congolese man, who boarded at Brazzaville and disembarked at Ndjamena was believed to have brought the bomb aboard.","(18.68532, 12.91643)",18.5657454337117,12.7694901663389,"Niger","Niger","correct location"
"1443",3204,3556,3568,"09/20/1989",1989,"15-16","Fairbanks, Alaska","Boeing KC-135E","Training","Military - U.S. Air Force","Other","57-1481","17552/161",7,NA,NA,2,NA,NA,0,"An explosion occurred in an overheated fuel pump while shuting down the engines.","(64.82944, -147.629116)",67.6896852072635,-148.052443017603,"United States","United States","correct location"
"1444",3205,3557,3569,"09/20/1989",1989,"23-00","La Guardia Airport, New York, New York","USAir","New York City - Charlotte, NC","Boeing B-737-401","Boeing","N416US","23884/1643",63,57,6,2,2,0,0,"During an aborted takeoff,  the aircraft overran the runway, hit a wooden approach lighting pier and came to rest partially submerged in shallow water in Bowery Bay. The failure of the captain to exercise his authority in a timely manner to reject or continue the troubled takeoff which was initiated by a mistrimmed rudder.","(40.77607, -73.87269)",41.3125500468066,-73.9756032161754,"United States","United States","correct location"
"1445",3208,3560,3572,"09/23/1989",1989,"20-21","Ujani Dam, India","Vayudoot","Pune - Hyderabad","Dornier Do-288-201","Dornier","VT-EJF","8052",11,8,3,11,8,3,0,"Exploded in mid-air and crashed during a thunderstorm and heavy rain.","(18.118629, 76.305225)",16.8619723078799,81.9294461668842,"India","India","correct location"
"1446",3210,3562,3574,"09/27/1989",1989,"09-10","Grand Canyon National Park Airport, Tusayan, Arizona","Grand Canyon Airlines","Grand Canyon National Park","de Havilland Canada DHC-6 Twin Otter 300","deHavilland","N75GC","439",21,19,2,10,8,2,0,"The aircraft bounced and came down on its right wing tip while attempting to land. The controls were damaged and after an attempted go-around and reaching a height of 200 ft., the plane rolled to the left and crashed into trees on a hill. Improper pilot techniques and crew coordination during the landing attempt, bounce and attempted go-around.","(35.954131, -112.142883)",36.414233653513,-110.85982744262,"United States","United States","correct location"
"1447",3213,3565,3577,"10/06/1989",1989,"22-23","Uncertain, Texas","Winchester Air","Uncertain - Destsin","Cessna 208 Caravan I","Cessna","N208W","208-00115",5,3,2,5,3,2,0,"The aircraft took off, made a left turn and crashed into trees.  Improper planning and decision by the pilot-in-command and failure of the crew to maintain runway alignment and clearance from the high obstructions beside the runway. Contributing factors included weather conditions, dark night, lack of runway edge lights, lack of visual perception by the pilots and trees beside the runway.","(32.709242, -94.121746)",33.2980972674514,-93.0347153337664,"United States","United States","correct location"
"1448",3214,3566,3578,"10/10/1989",1989,"13-14","Lacey Township, New Jersey","Air Taxi - Paramount Aviation Corp.","New York, NY - Atlantic City, NJ","Agusta A109A MK II","Other","N21FL","7309",5,4,1,5,4,1,0,"In-flight separation of a main rotor blade of the helicopter due to fatigue failure of the main rotor blade spar, which originated at a manufacturing induced scratch (tool mark) that was the result of inadequate quality control.","(39.852217, -74.259784)",40.8187827016217,-71.3112698749328,"United States","United States","correct location"
"1449",3217,3569,3581,"10/20/1989",1989,"02-03","Leninakan, Russia","Aeroflot","Ul'yanovsk - Leninakan","Ilyushin IL-76TD","Ilyushin","CCCP-76466","23440153",15,10,5,15,10,5,0,"Descended below minima and struck a mountain. Did not heed GPWS warnings. Incorrectly set altimeter.","(47.30831, 39.64641)",46.9765715031368,40.6235362547405,"Russia","Russia","correct location"
"1450",3218,3570,3582,"10/21/1989",1989,"07-08","Tegucigalpa, Honduras","TAN","Managua - Tegucigalpa","Boeing B-727-224","Boeing","N88705","19514/597",146,138,8,127,123,4,0,"The aircraft landed short of the runway in heavy rain and high winds after returning to the airport. The crew did not follow the proper approach procedure.","(14.0818, -87.20681)",13.9700009070087,-90.4540444582017,"Honduras","Honduras","correct location"
"1451",3221,3573,3585,"10/28/1989",1989,"18-19","Halawa Point, Molokai, Hawaii","Aloha Island Air","Kahului, Maui - Kaunakakai, Molokai","de Havilland DHC-6 Twin Otter 300","deHavilland","N707PV","400",20,18,2,20,18,2,0,"The aircraft collided with terrain near Halawa Bay, Molokai, Hawaii, while en route on a scheduled passenger flight from the Kahalui Airport, Maui, to Kaunakakai Airport, Molokai. The decision of the captain to continue flight under visual flight rules at night into instrument meteorological conditions, which obscured rising mountainous terrain. The victims included eight members of Molokai High School's volleyball team and staff.","(47.91013, -122.526428)",47.7165052779553,-120.357454206179,"United States","United States","correct location"
"1452",3225,3578,3590,"11/25/1989",1989,"07-08","Seoul, South Korea","Korean Airlines","Seou - Ulsan","Fokker F-28 Fellowship 4000","Fokker","HL-7255","11223",52,46,6,1,1,0,0,"The plane crashed during takeoff after losing the left engine, directional control and overrunning the runway and catching fire.","(37.539619, 127.009676)",37.1991473925528,123.850174214006,"South Korea","South Korea","correct location"
"1453",3226,3579,3591,"11/27/1989",1989,"07-08","Bogota, Colombia","AVIANCA","Bogota - Cali","Boeing B-727-21","Boeing","HK-1803","19035/272",107,101,6,107,101,6,3,"The plane burst into flames and crashed shortly after taking off from El Dorado Airport. Detonation of an explosive device placed on the floor on the starboard side of the passenger cabin at seat 15F which ignited fuel vapors in an empty fuel tank. The bomb was placed by members of the drug cartel headed by Pablo Escobar in an attempt to kill presidental candidate Cesare Gaviria. He was not aboard the flight.","(4.635456, -74.08768)",4.31612118333575,-76.2938187513783,"Colombia","Colombia","correct location"
"1454",3228,3581,3593,"11/28/1989",1989,"20-21","Charallave, Venezuela","Lineas AÃÂ©reas Cave","Canaima - Ciudad Guayana -Charallave","Cessna 402","Cessna","YV-478C","",7,5,2,3,1,2,0,"The aircraft was making a night, VOR instrument approach to Runway 28.  Visual meteorological conditions prevailed, except for some parts of the airport which were obscured by low cloud.  Approaching Runway 28, the aircraft was too high to land and the pilot chose instead to enter a right downwind to land on Runway 10.  At approximately 400 feet above ground level on final for Runway 10, the aircraft entered some clouds, the base of which were reported by the tower operator to be at 10 meters.  The aircraft continued its descent, initially striking some trees about 400 feet short of the runway, then shearing off one of the main landing gear on a hillside road about 200 feet prior to the runway.  The aircraft, under full power and nose up, began to climb, but rolled inverted and crashed at the threshold of Runway 10.  The wing fuel tanks were ruptured and the fuselage, trailing fire, slid across the runway and stopped on the parallel taxiway.  A fire ensued and airport fire and rescue crews put out the fire within 10 minutes.  Both pilots and one passenger were killed by impact and the remaining four passengers were taken to the hospital with moderate injuries.  The primary cause of the accident was the pilot's decision to descend without visual reference to the surface.  A contributing factor was the negative affect on crew performance that resulted from not using oxygen at 12,000 feet during the flight from Ciudad Guayana.","(10.24247, -66.85723)",10.7981799845685,-63.6664860781503,"Venezuela","Venezuela","correct location"
"1455",3229,3582,3594,"11/28/1989",1989,"18-19","Block Island, Rhode Island","New England Airlines","Block Island, RI - Westerly, RI","Britten-Norman BN-2A Islander","Britten Norman","N127JL","69",8,7,1,8,7,1,0,"Crashed into the sea 4 miles Northwest of the Island. Unknown cause. There was sever turbulence and windshear in the area.","(41.17374, -71.58022)",41.5553710996613,-71.9192373989733,"United States","United States","correct location"
"1456",3230,3583,3595,"12/01/1989",1989,"09-10","Patuxent, Maryland","Military - U.S. Army","Fort Belvoir - Patuxent River NAS","CASA 212 Aviocar 200","CASA","N296CA","296",5,0,5,5,0,5,0,"The crew inadvertently selected ""Beta Range"" on the propellers at 800 feet. The aircraft then stalled and crashed into the river.","(38.50429, -76.66079)",38.7324888973463,-75.8980325836879,"United States","United States","correct location"
"1457",3235,3588,3600,"01/02/1990",1990,"13-14","Java Sea, Indonesia","Pelita Air Service","Palambang and Jakarta","CASA 212 Aviocar 200","CASA","PK-PCM","217/57N",16,13,3,9,7,2,0,"Ditched into the Java Sea after experiencing mechanical problems with the right engine and being unable to maintain altitude. The crew shut down the engine and feathered the propeller but could not maintain altitude despite jettisoning luggage out of the aircraft.","(-7.49167, 110.00444)",-8.80714243533224,107.703428133202,"Indonesia","Indonesia","correct location"
"1458",3236,3589,3601,"01/13/1990",1990,"12-13","Pervouralsk, Russia","Aeroflot","Tyumen - Ufa","Tupolev TU-134A","Tupolev","CCCP-65951","2351703",71,65,6,27,23,4,0,"A fire in the rear cargo hold and fire warning in both engines forced the plane to crash land in a snow laden field. The plane broke up after striking irrigation equipment. Short circuit in the electrical wiring.","(56.89258, 60.007782)",57.0279005302231,60.2785830209211,"Russia","Russia","correct location"
"1459",3238,3591,3603,"01/17/1990",1990,"07-08","Leadville, Colorado","Federal Express","Denver - Montrose","Cessna 208A Caravan I Cargomaster","Cessna","N835FE","208-00091",1,0,1,1,0,1,0,"The cargo plane crashed into a 14,200 ft. Mount Massive 50 feet below the summit  while en route. Diversion of the pilot's attention, resulting in an in flight collision with terrain during normal cruise flight.","(37.873795, -90.521529)",38.9211885038623,-87.3290215831593,"United States","United States","correct location"
